54,-1356,1857,660109804001000,Z,0.582756,0.336656
54,-1356,1858,660109804001000,Z,0.219460,0.126781
54,-1355,1857,660109804001000,Z,0.144109,0.083251
54,-1355,1858,660109804001000,Z,0.053629,0.030982
54,-1354,1865,660109504023024,Z,0.737833,0.015944
54,-1353,1865,660109504023024,Z,0.262061,0.005663
54,-1354,1859,660109507011000,Z,0.900183,0.049875
54,-1354,1860,660109507011000,Z,0.099088,0.005490
54,-1368,1853,660109534001005,Z,1.000000,0.000707
54,-1369,1853,660109534001026,Z,1.000000,0.010457
54,-1372,1853,660109534002025,Z,1.000000,0.002381
54,-1370,1853,660109534001020,Z,0.914357,0.021374
54,-1369,1853,660109534001020,Z,0.085154,0.001991
54,-1371,1853,660109534002030,Z,1.000000,0.022322
54,-1371,1853,660109534002028,Z,1.000000,0.017735
54,-1372,1853,660109534002017,Z,0.951203,0.027111
54,-1372,1854,660109534002017,Z,0.048743,0.001389
54,-1369,1852,660109534001037,Z,0.968530,0.010812
54,-1368,1852,660109534001037,Z,0.031470,0.000351
54,-1369,1853,660109534002008,Z,1.000000,0.038364
54,-1369,1853,660109534001011,Z,1.000000,0.007433
54,-1369,1833,660109552001022,Z,1.000000,0.003261
54,-1370,1826,660109552002007,Z,0.143128,0.041986
54,-1370,1827,660109552002007,Z,0.652122,0.191297
54,-1369,1826,660109552002007,Z,0.108163,0.031729
54,-1369,1827,660109552002007,Z,0.096571,0.028329
54,-1376,1826,660109552001016,Z,0.265504,0.256219
54,-1376,1827,660109552001016,Z,0.018834,0.018176
54,-1375,1826,660109552001016,Z,0.289243,0.279127
54,-1375,1827,660109552001016,Z,0.114384,0.110384
54,-1374,1826,660109552001016,Z,0.269233,0.259817
54,-1374,1827,660109552001016,Z,0.042945,0.041443
54,-1378,1827,660109552001013,Z,0.333904,0.432973
54,-1378,1828,660109552001013,Z,0.113496,0.147170
54,-1377,1827,660109552001013,Z,0.383203,0.496898
54,-1377,1828,660109552001013,Z,0.061888,0.080250
54,-1376,1827,660109552001013,Z,0.107632,0.139566
54,-1371,1826,660109552002029,Z,1.000000,0.000642
54,-1370,1827,660109552002010,Z,1.000000,0.018307
54,-1379,1822,660109900000102,Z,0.344582,0.453285
